一毛不拔,zdic解释
金蟬脫殼,蝉变为成虫时要脱去一层壳||比喻用计脱身，使人不能及时发觉
五花八門,原指五行阵和八门阵||这是古代两种战术变化很多的阵势||比喻变化多端或花样繁多
一貧如洗,穷得象用水洗过似的，什么都没有||形容十分贫穷
心安理得,自以为做的事情合乎道理，心里很坦然
道貌岸然,指神态严肃，一本正经的样子
飛揚跋扈,原指意态狂豪，不爱约束||现多形容骄横放肆，目中无人
苦口婆心,比喻善意而又耐心地劝导
比比皆是,到处都是，形容极其常见
顛沛流離,由于灾荒或战乱而流转离散||形容生活艰难，四处流浪
雷厲風行,象雷那样猛烈，象风那样快||比喻执行政策法令严厉迅速||也形容办事声势猛烈，行动迅速
十拿九穩,比喻很有把握
寡廉鮮恥,旧指不廉洁，不知耻||现指不知羞耻
模稜兩可,指不表示明确的态度，或没有明确的主张
充耳不聞,塞住耳朵不听||形容有意不听别人的意见
蠢蠢欲動,比喻敌人准备进攻或坏人阴谋捣乱
聽天由命,听任事态自然发展变化，不做主观努力||也比喻碰机会，该怎么样就怎么样
大腹便便,形容肥胖的样子
聲名狼藉,名声败坏到了极点
探囊取物,伸手到口袋里拿东西||比喻能够轻而易举地办成某件事情
處心積慮,形容蓄谋已久
呆若木雞,呆得象木头鸡一样||形容因恐惧或惊异而发愣的样子
以鄰為壑,拿邻国当做大水坑，把本国的洪水排泄到那里去||比喻只图自己一方的利益，把困难或祸害转嫁给别人
言簡意賅,话不多，但意思都有了||形容说话写文章简明扼要
積重難返,经过长时间形成的思想作风或习惯，很难改变
標新立異,提出新奇的主张，表示与众不同
來龍去脈,本指山脉的走势和去向||现比喻一件事的前因后果
櫛風沐雨,风梳发，雨洗头||形容人经常在外面不顾风雨地辛苦奔波
所向披靡,比喻力量所达到的地方，一切障碍全被扫除
海底撈針,在大海里捞一根针||形容很难找到
栩栩如生,指艺术形象非常逼真，如同活的一样
惡貫滿盈,罪恶之多，犹如穿线一般已穿满一根绳子||形容罪大恶极，到受惩罚的时候了
朝秦暮楚,比喻人反复无常
斬草除根,除草时要连根除掉，使草不能再长||比喻除去祸根，以免后患
喜出望外,由于没有想到的好事而非常高兴
花言巧語,原指铺张修饰、内容空泛的言语或文辞||后多指用来骗人的虚伪动听的话
垂頭喪氣,形容因失败或不顺利而情绪低落、萎蘼不振的样子
流連忘返,玩乐时留恋不愿离开||留恋得忘记了回去
隨機應變,随着情况的变化灵活机动地应付
分庭抗禮,原指宾主相见，分站在庭的两边，相对行礼||现比喻平起平坐，彼此对等的关系
應接不暇,原形容景物繁多，来不及观赏||后多形容来人或事情太多，应付不过来
鞠躬盡瘁,指恭敬谨慎，竭尽心力
愛莫能助,虽然心中关切同情，却没有力量帮助
洗耳恭聽,洗干净耳朵恭恭敬敬听别人讲话||请人讲话时的客气话||指专心地听
不勝枚舉,不能一个个地列举出来||形容数量很多
不知所措,不知道怎么办才好||形容处境为难或心神慌乱
美不勝收,美好的东西很多，一时看不过来
絕無僅有,只有一个，再没有别的||形容非常少有
另眼相看,用另一种眼光看待||指看待某个人不同一般||也指不被重视的人得到重视
隔岸觀火,隔着河看人家着火||比喻对别人的危难不去求助，在一旁看热闹
雷霆萬鈞,形容威力极大，无法阻挡
巧奪天工,人工的精巧胜过天然||形容技艺十分巧妙
萬紫千紅,形容百花齐放，色彩艳丽||也比喻事物丰富多彩
當機立斷,在紧要时刻立即做出决断
綽綽有餘,形容房屋或钱财非常宽裕，用不完
放蕩不羈,放纵任性，不加检点，不受约束
漫不經心,随随便便，不放在心上
咎由自取,灾祸或罪过是自己招来的||指自作自受
醉生夢死,象喝醉酒和做梦那样，昏昏沉沉，糊里糊涂地过日子
豁然貫通,指一下了弄通了某个道理
夙興夜寐,早起晚睡||形容勤奋
鉤心鬥角,原指宫室建筑结构的交错和精巧||后比喻用尽心机，明争暗斗
顛撲不破,无论怎样摔打都破不了||比喻理论学说完全正确，不会被驳倒推翻
聲淚俱下,一边说一边哭||形容极其悲恸
老奸巨猾,指非常阴险狡诈的人
汗馬功勞,指在战场上建立战功||现指辛勤工作做出的贡献
千載一時,一千年才有这么一个时机||形容机会极其难得
光明磊落,胸怀坦白，正大光明
同病相憐,比喻因有同样的遭遇或痛苦而互相同情
生龍活虎,形容活泼矫健，富有生气
同床異夢,原指夫妇生活在一起，但感情不和||比喻同做一件事而心里各有各的打算
出其不意,趁对方没有意料到就采取行动
不知所云,不知道说得是些么||形容说话内容混乱，无法理解
不言而喻,不用说话就能明白||形容道理很明显
不苟言笑,不随便说笑||形容态度庄重严肃
大驚小怪,形容对没有什么了不起的的事情过分惊讶
手足無措,手脚不知放到哪儿好||形容举动慌张，或无法应付
屈指可數,形容数目很少，扳着手指头就能数过来
眉飛色舞,形容人得意兴奋的样子
洗心革面,清除旧思想，改变旧面貌||比喻彻底悔改
飛黃騰達,形容骏马奔腾飞驰||比喻骤然得志，官职升得很快
紙醉金迷,原意是让闪光的金纸把人弄迷糊了||形容叫人沉迷的奢侈繁华环境
烏合之眾,象暂时聚合的一群乌鸦||比喻临时杂凑的、毫无组织纪律的一群人
逆來順受,指对恶劣的环境或无礼的待遇采取顺从和忍受的态度
啞口無言,象哑巴一样说不出话来||形容理屈词穷的样子
等量齊觀,指对有差别的事物同等看待
荒謬絕倫,没有比这更荒唐更不合情理的了
深惡痛絕,极其厌恶、痛恨
殊途同歸,通过不同的途径，到达同一个目的地||比喻采取不同的方法而得到相同的结果
千變萬化,形容变化极多
得不償失,所得的利益抵偿不了所受的损失
冥頑不靈,形容愚昧无知
望洋興嘆,仰望海神而兴叹||原指在伟大事物面前感叹自己的渺小||现多比喻做事时因力不胜任或没有条件而感到无可奈何
嬌生慣養,从小就被溺爱、娇养惯了
養精蓄銳,保养精神，积蓄力量
陽奉陰違,指玩弄两面派手法，表面上遵从，暗地里违背
懷才不遇,胸怀才学但生不逢时，难以施展||多指屈居微贱而不得志
連篇累牘,形容篇幅过多，文辞冗长
並駕齊驅,并排套着的几匹马一齐快跑||比喻彼此的力量或才能不分高下
起死回生,把快要死的人救活||形容医术高明||也比喻把已经没有希望的事物挽救过来
大名鼎鼎,形容名气很大
大智若愚,某些才智出众的人不露锋芒，看来好像愚笨
錦囊妙計,旧小说里描写足智多谋的人把对付敌方的计策写在纸条上，放在锦囊里，以便当事人在紧急时拆阅||比喻有准备的巧妙办法
一目了然,一眼就看得很清楚
五光十色,形容色彩鲜艳，花样繁多
年高德劭,年纪大，品德好
快馬加鞭,跑得很快的马再加上一鞭子，使马跑得更快||比喻快上加快，加速前进
志同道合,志趣相同，意见一致
冷言冷語,带讥讽意味的冷冰冰的话
流言蜚語,毫无根据的话||指背后散布的诽谤性的坏话
殺人越貨,害人性命，抢人东西||指盗匪的行为
銳不可當,形容勇往直前的气势，不可抵挡
錙銖必較,形容非常小气，很少的钱也一定要计较||也比喻气量狭小，很小的事也要计较
苦心孤詣,指苦心钻研，到了别人所达不到的地步||也指为寻求解决问题的办法而煞费苦心
刻骨銘心,铭刻在心灵深处||形容记忆深刻，永远不忘
深謀遠慮,指计划得很周密，考虑得很长远
魂不附體,灵魂离开了身体||形容极端惊恐或在某种事物诱惑下失去常态
入不敷出,收入不够支出
十全十美,十分完美，毫无欠缺
人山人海,人群如山似海||形容人聚集得非常多
無微不至,没有一处细微的地方不照顾到||形容关怀、照顾得非常细心周到
不遺餘力,把全部力量都使出来，一点不保留
心平氣和,心情平静，态度温和||指不急躁，不生气
心血來潮,指心里突然或偶然起了一个念头
隨遇而安,指能顺应环境，在任何境遇中都能满足
神通廣大,法术广大无边||形容本领高超，无所不能
孤苦伶仃,孤单困苦，没有依靠
名不副實,名声或名义和实际不相符||指空有虚名
爾虞我詐,表示彼此互相欺骗
義正辭嚴,理由正当充足，措词严正有力
改邪歸正,从邪路上回到正路上来，不再做坏事
顧此失彼,顾了这个，丢了那个||形容忙乱或慌张的情景
言聽計從,什么话都听从，什么主意都采纳||形容对某人十分信任
困獸猶鬥,被围困的野兽还要作最后挣扎||比喻在绝境中还要挣扎抵抗
迥然不同,形容相差得远，很明显不一样
如出一轍,好像出自同一个车辙||比喻两件事情非常相似
歡天喜地,形容非常高兴
循規蹈矩,原指遵守规矩，不敢违反||现也指拘守旧准则，不敢稍做变动
唯唯諾諾,形容自己没有主意，一味附和，恭顺听从的样子
孑然一身,孤孤单单一个人
氣壯山河,形容气概豪迈，使祖国山河因而更加壮丽
不同凡響,形容事物不平凡，很出色
骨瘦如柴,形容消瘦到极点
理直氣壯,理由充分，说话气势就壮
星羅棋布,像天空的星星和棋盘上的棋子那样分布着。||形容数量很多，分布很广。
依然故我,形容自己一切跟从前一样，没有变得更好
大庭廣眾,指聚集很多人的公开场合
鬼使神差,好像有鬼神在支使着一样，不自觉地做了原先没想到要做的事
粗枝大葉,绘画，画树木粗枝大叶，不用工笔||比喻工作粗糙，不认真细致
相得益彰,指两个人或两件事物互相配合，双方的能力和作用更能显示出来
心如刀割,内心痛苦得象刀割一样
心滿意足,形容心中非常满意
名列前茅,比喻名次列在前面
失魂落魄,形容惊慌忧虑、心神不定、行动失常的样子
粗茶淡飯,形容饮食简单，生活简朴
躍然紙上,活跃地呈现在纸上||形容文学作品叙述描写真实生动
見義勇為,看到正义的事，就勇敢地去做
形單影隻,只有自己的身体和自己的影子||形容孤独，没有同伴
養虎遺患,留着老虎不除掉，就会成为后患||比喻纵容坏人坏事，留下后患
憂心如焚,心里愁得像火烧一样||形容非常忧虑焦急
搜索枯腸,形容写作时苦思苦想
義無反顧,从道义上只有勇往直前，不能犹豫回顾
坐立不安,坐着也不是，站着也不是||形容心情紧张，情绪不安
紛至沓來,形容接连不断的到来
首屈一指,扳指头计算，首先弯下大拇指，表示第一||指居第一位||引申为最好的
形影不離,象形体和它的影子那样分不开||形容彼此关系亲密，经常在一起
一決雌雄,决一胜负，比个高下
厲兵秣馬,磨好兵器，喂好马||形容准备战斗
禍起蕭牆,指祸乱发生在家里||比喻内部发生祸乱
縱虎歸山,把老虎放回山去||比喻把坏人放回老巢，留下祸根
黨同伐異,指结帮分派，偏向同伙，打击不同意见的人
大喜過望,结果比原来希望的还好，因而感到特别高兴
響遏行雲,形容歌声嘹亮，高入云霄，连浮动着的云彩也被止住了
涇渭分明,泾河水清，渭河水浑，泾河的水流入渭河时，清浊不混||比喻界限清楚或是非分明
破釜沉舟,比喻下决心不顾一切地干到底
中庸之道,指不偏不倚，折中调和的处世态度
一丘之貉,一个土山里的貉||比喻彼此同是丑类，没有什么差别
班門弄斧,在鲁班门前舞弄斧子||比喻在行家面前卖弄本领，不自量力
水落石出,水落下去，水底的石头就露出来||比喻事情的真相完全显露出来
名落孫山,名字落在榜末孙山的后面||指考试或选拔没有录取
胸有成竹,原指画竹子要在心里有一幅竹子的形象||后比喻在做事之前已经拿定主意
指鹿為馬,指着鹿，说是马||比喻故意颠倒黑白，混淆是非
天衣無縫,神话传说，仙女的衣服没有衣缝||比喻事物周密完善，找不出什么毛病
江郎才盡,原指江淹少有文名，晚年诗文无佳句||比喻才情减退
口若懸河,讲起话来滔滔不绝，象瀑布不停地奔流倾泻||形容能说会辨，说起来没个完
驚弓之鳥,被弓箭吓怕了的鸟不容易安定||比喻经过惊吓的人碰到一点动静就非常害怕
一敗塗地,形容失败到了不可收拾的地步
投筆從戎,扔掉笔去参军||指文人从军
畫蛇添足,画蛇时给蛇添上脚||比喻做了多余的事，非但无益，反而不合适||也比喻虚构事实，无中生有
望梅止渴,原意是梅子酸，人想吃梅子就会流涎，因而止渴||后比喻愿望无法实现，用空想安慰自己
司空見慣,指某事常见，不足为奇
南轅北轍,想往南而车子却向北行||比喻行动和目的正好相反
狼狽為奸,狼和狈一同出外伤害牲畜，狼用前腿，狈用后腿，既跑得快，又能爬高||比喻互相勾结干坏事
狐假虎威,狐狸假借老虎的威势||比喻依仗别人的势力欺压人
為虎作倀,替老虎做伥鬼||比喻充当恶人的帮凶
如火如荼,像火那样红，像荼那样白||原比喻军容之盛||现用来形容大规模的行动气势旺盛，气氛热烈
老馬識途,老马认识路||比喻有经验的人对事情比较熟悉
一暴十寒,虽然是最容易生长的植物，晒一天，冻十天，也不可能生长||比喻学习或工作一时勤奋，一时又懒散，没有恒心
守株待兔,原比喻希图不经过努力而得到成功的侥幸心理||现也比喻死守狭隘经验，不知变通
四面楚歌,比喻陷入四面受敌、孤立无援的境地
奇貨可居,指把少有的货物囤积起来，等待高价出售||也比喻拿某种专长或独占的东西作为资本，等待时机，以捞取名利地位
刻舟求劍,比喻不懂事物已发展变化而仍静止地看问题
後來居上,后来的超过先前的||有以称赞后起之秀超过前辈
負荊請罪,背着荆条向对方请罪||表示向人认错赔罪
對牛彈琴,讥笑听话的人不懂对方说得是什么||用以讥笑说话的人不看对象
一鼓作氣,第一次击鼓时士气振奋||比喻趁劲头大的时候鼓起干劲，一口气把工作做完
紙上談兵,在纸面上谈论打仗||比喻空谈理论，不能解决实际问题||也比喻空谈不能成为现实
破鏡重圓,比喻夫妻失散或离婚后重新团聚
打草驚蛇,打草惊了草里的蛇||原比喻惩罚了甲而使乙有所警觉||后多比喻做法不谨慎，反使对方有所戒备
揠苗助長,把苗拔起，以助其生长||比喻违反事物发展的客观规律，急于求成，反而把事情弄糟
一鳴驚人,一叫就使人震惊||比喻平时没有突出的表现，一下子做出惊人的成绩
死灰復燃,冷灰重新烧了起来||原比喻失势的人重新得势||现常比喻已经消失了的恶势力又重新活动起来
出奇制勝,出奇兵战胜敌人||比喻用对方意料不到的方法取得胜利
食古不化,指对所学的古代知识理解得不深不透，不善于按现在的情况来运用，跟吃了东西不能消化一样
一日千里,原形容马跑得很快||后比喻进展极快
一諾千金,许下的一个诺言有千金的价值||比喻说话算数，极有信用
騎虎難下,骑在老虎背上不能下来||比喻做一件事情进行下去有困难，但情况又不允许中途停止，陷于进退两难的境地
投鼠忌器,想用东西打老鼠，又怕打坏了近旁的器物||比喻做事有顾忌，不敢放手干
坐井觀天,坐在井底看天||比喻眼界小，见识少
門可羅雀,大门之前可以张起网来捕麻雀||形容十分冷落，宾客稀少
攀龍附鳳,指巴结投靠有权势的人以获取富贵
易如反掌,象翻一下手掌那样容易||比喻事情非常容易做
膾炙人口,脍和炙都是人们爱吃的食物||指美味人人爱吃||比喻好的诗文受到人们的称赞和传颂
趾高氣揚,走路时脚抬得很高，神气十足||形容骄傲自满，得意忘形的样子
唾面自乾,别人往自己脸上吐唾沫，不擦掉而让它自干||形容受了污辱，极度容忍，不加反抗
推心置腹,把赤诚的心交给人家||比喻真心待人
病入膏肓,形容病情十分严重，无法医治||比喻事情到了无法挽救的地步
蕭規曹隨,萧何创立了规章制度，死后，曹参做了宰相，仍照着实行||比喻按照前任的成规办事
庸人自擾,指本来没事，自己找麻烦
緣木求魚,爬到树上去找鱼||比喻方向或办法不对头，不可能达到目的
雙管齊下,原指手握双笔同时作画||后比喻做一件事两个方面同时进行或两种方法同时使用
一言九鼎,一句话抵得上九鼎重||比喻说话力量大，能起很大作用
自相矛盾,比喻自己说话做事前后抵触
舉案齊眉,送饭时把托盘举得跟眉毛一样高||后形容夫妻互相尊敬
閉門造車,关起门来造车子||比喻脱离实际，只凭主观办事
歧路亡羊,因岔路太多无法追寻而丢失了羊||比喻事物复杂多变，没有正确的方向就会误入歧途
車水馬龍,车象流水，马象游龙||形容来往车马很多，连续不断的热闹情景
先發制人,原指丢动手的牌主动地位，可以控制对方||后也泛指争取主动，先动手来制服对方
洛陽紙貴,比喻著作有价值，流传广
孤陋寡聞,形容学识浅陋，见闻不广
滿腹經綸,形容人极有才干和智谋
飲鴆止渴,喝毒酒解渴||比喻用错误的办法来解决眼前的困难而不顾严重后果
退避三舍,主动退让九十里||比喻退让和回避，避免冲突
世外桃源,原指与现实社会隔绝、生活安乐的理想境界||后也指环境幽静生活安逸的地方||借指一种空想的脱离现实斗争的美好世界
水深火熱,老百姓所受的灾难，象水那样越来越深，象火那样越来越热||比喻人民生活极端痛苦
假公濟私,假借公家的名义，谋取私人的利益
孤掌難鳴,一个巴掌拍不响||比喻力量孤单，难以成事
